iter=540, S=[5924, 30546], exptime=5123580.0
iter=541, S=[6113, 30414], exptime=5032860.0
iter=542, S=[6309, 30352], exptime=5004199.0
iter=543, S=[6378, 30236], exptime=5205862.0
iter=544, S=[6469, 30116], exptime=4833048.0
iter=545, S=[6412, 30221], exptime=4646295.0
iter=546, S=[6412, 30221], exptime=4646295.0
iter=547, S=[6412, 30221], exptime=4646295.0
iter=548, S=[6604, 30396], exptime=4908822.0
iter=549, S=[6721, 30418], exptime=4625000.0
iter=550, S=[6721, 30418], exptime=4625000.0
iter=551, S=[6721, 30418], exptime=4625000.0
iter=552, S=[6833, 30400], exptime=5125182.0
iter=553, S=[6644, 30241], exptime=4691358.0
iter=554, S=[6607, 30351], exptime=4758165.0
iter=555, S=[6431, 30508], exptime=5100204.0
iter=556, S=[6558, 30610], exptime=4912887.0
iter=557, S=[6558, 30610], exptime=4912887.0
iter=558, S=[6370, 30745], exptime=4497328.0
